title,link,text_content
The Monty Hall Problem,https://alphamartian.wordpress.com/2018/07/15/the-monty-hall-problem/,"Apakah anda pernah menonton program televisi seperti Superdeal 2 Miliyar? Kalau pernah tapi sedikit lupa, mungkin saya bisa mengingatkan anda kembali. Pada program ini, seorang pemain atau kontestan diberikan beberapa pilihan oleh sang pembawa acara, misalnya pembawa acara memberikan pilihan pada pemain untuk memilih kotak atau tirai nomor satu. Kemudian anggap saja pemain memutuskan untuk… "
Big Brother is Watching,https://alphamartian.wordpress.com/2018/05/18/big-brother-is-watching/,"Jika anda diberi pilihan untuk kehilangan privasi anda tapi anda bisa hidup dengan lebih aman, apakah anda menginginkannya? Atau anda lebih suka jika privasi anda tidak diganggu gugat oleh orang lain, tapi kemungkinan besar setiap harinya anda akan menemukan orang-orang melakukan bom bunuh diri, yang bisa saja menewaskan anda? Mana yang menurut anda lebih baik?… "
Placebo Effect,https://alphamartian.wordpress.com/2018/04/28/placebo-effect/,"Apakah anda termasuk orang yang akan langsung pergi ke dokter sesaat anda tahu jika anda sakit?  Atau anda termasuk orang yang hanya minum obat dan istirahat dirumah? Manapun “kategori” anda, yang pasti anda akan melakukan sesuatu untuk membuat anda kembali sehat, terkecuali jika anda memang berniat untuk sakit. Banyak jenis obat-obatan yang beredar di masyarakat,… "
Do we really need coach and teacher???,https://alphamartian.wordpress.com/2018/02/03/do-we-really-need-coach-and-teacher/,"Jika anda pernah bermain sebagai anggota suatu tim olahraga seperti sepak bola, futsal atau basket, mungkin anda tidak asing dengan seseorang yang berteriak-teriak dari luar lapangan kepada anda, kemudian menyuruh anda untuk melakukan ini-itu, sana-sini, melakukan inilah-melakukan itulah, yang saya yakin ada pada suatu titik anda merasa kesal karenanya. Orang itu terus menilai anda dengan… "
The Imitation Game,https://alphamartian.wordpress.com/2018/01/30/the-imitation-game/,"Dewasa ini, komputer dan mesin menjadi hal yang tidak bisa dipisahkan dari keseharian manusia. Setiap harinya kita menggunakan komputer untuk berbagai keperluan, dari chatting, menulis email, browsing, hingga sekedar menonton video di youtube. Proses berpergian kita menjadi jauh lebih mudah sejak ditemukannya pesawat, mobil, motor, dan juga kereta yang saat ini jauh lebih modern jika… "
Ideas Worth Spreading,https://alphamartian.wordpress.com/2017/12/28/ideas-worth-spreading/,"“Ideas shape the course of history” – John Maynard Keynes – Tahukah anda mengapa peradaban manusia saat ini bisa menjadi seperti sekarang; transporstasi dan infrastruktur jauh berkembang, teknologi dan informasi telah modern dan menyebar, dan yang paling penting, ilmu pengetahuan sudah jauh mengalami peningkatan. Salah satu alasan mengapa semua hal itu terjadi adalah karena ide-ide… "
The 10.000 Hours Rule,https://alphamartian.wordpress.com/2017/12/23/the-10-000-hours-rule/,"Jika anda pernah bertanya pada seseorang yang ahli pada suatu bidang, bagaimana caranya mereka bisa menjadi diri mereka yang sekarang, mungkin mereka akan menjawab “Proses adalah jawabannya”. Anda mungkin akan bertanya-tanya pada diri anda sendiri, apakah saya akan bisa menjadi seperti dirinya dan apa yang perlu saya lakukan agar saya bisa mencapai apa yang telah… "
Ship of Theseus,https://alphamartian.wordpress.com/2017/12/22/ship-of-theseus/,"Pernahkah anda berpikir apakah itu identitas? Siapakah anda sesungguhnya? Apa yang menyebabkan diri anda adalah anda? Pertanyaan-pertanyaan seperti ini yang sering ditanyakan oleh para filsuf dan sekarang ditanyakan oleh para ahli fisika teori. Pertanyaan yang sangat mendasar tetapi sulit untuk dijawab. Pertanyaan yang mungkin ditanyakan oleh anak-anak –meskipun dalam bentuk pertanyaan yang lain. Karenanya, untuk… "
Wormhole,https://alphamartian.wordpress.com/2017/10/05/wormhole/,"Apakah anda pernah menonton film Star Trek atau Star Wars ataupun film-film dengan tema science fiction lainnya? Jika sudah, mungkin anda sudah tidak awam dengan istilah Warp Drive, Anti-matter, Wormhole, Blackhole dan lain sebagainya. Semua istilah itu berasal dari pemahaman manusia tentang ilmu sains terutama ilmu fisika, dan banyak darinya yang bukanlah fiksi semata. Pada… "
Maxwell’s Demon,https://alphamartian.wordpress.com/2017/09/05/maxwells-demon/,"Apa yang anda pikirkan saat membaca judul postingan kali ini, ‘Maxwell’s demon’? Mungkin anda terpikir akan sesuatu yang berkaitan dengan film horror atau malahan anda terpikir dengan hal yang berkaitan dengan ilmu fisika (kok bisa?). Jadi tentang apakah Maxwell’s demon itu? Surprise… postingan kali ini tidak ada kaitannya dengan film horror manapun, karena kali ini… "
Hilbert’s paradox of the Grand Hotel,https://alphamartian.wordpress.com/2017/06/28/hilberts-paradox-of-the-grand-hotel/,"Pada postingan kali ini, kita akan membahas tentang salah satu paradox yang pernah saya baca saat SMA, tetapi baru saya pahami secara lebih mendalam dan lebih jelas pada saat kuliah. Temanya berhubungan dengan matematika, terutama dalam bidang teori himpunan (Set Theory). Nama dari paradox ini adalah Hilbert’s paradox of the Grand Hotel. Sesuai dengan judul,… "
Rage against the dying of the light,https://alphamartian.wordpress.com/2017/06/21/rage-against-the-dying-of-the-light/,"Pada suatu waktu saya teringat dengan film Interstellar karya dari Christopher Nolan. Film yang menceritakan tentang umat manusia di bumi yang sudah berada diambang kematiannya ini hanya mempunyai dua pilihan, yaitu meninggalkan bumi untuk mencari sebuah planet lain yang layak dihuni atau bertahan di bumi yang sudah sekarat dengan kemungkinan akan mati kelaparan. Dengan kisah… "
